ID,Name,Identifier,Email
1,Kovács Péter,kovacs.peter,kovacs.peter@example.hu
2,Szabó Anna,szabo.anna,szabo.anna@example.hu
3,Tóth Gábor,toth.gabor,toth.gabor@example.hu
4,Nagy Eszter,nagy.eszter,nagy.eszter@example.hu
5,Horváth László,horvath.laszlo,horvath.laszlo@example.hu
6,Varga Mária,varga.maria,varga.maria@example.hu
7,Farkas Zoltán,farkas.zoltan,farkas.zoltan@example.hu
8,Kiss Judit,kiss.judit,kiss.judit@example.hu
9,Molnár Dániel,molnar.daniel,molnar.daniel@example.hu
10,Balogh Mária,balogh.maria,balogh.maria@example.hu
